,Mkt,SMB,HML
196307,-0.39,-0.46,-0.82
196308,5.07,-0.85,1.63
196309,-1.57,-0.5,0.19
196310,2.53,-1.3,-0.11
196311,-0.85,-0.83,1.66
196312,1.83,-1.87,-0.11
196401,2.24,0.12,1.64
196402,1.54,0.3,2.83
196403,1.41,1.43,3.36
196404,0.1,-1.52,-0.42
196405,1.42,-0.69,1.88
196406,1.27,0.05,0.72
196407,1.74,0.47,0.7
196408,-1.44,0.3,0.12
196409,2.69,-0.31,1.65
196410,0.59,0.91,1.14
196411,0,-0.28,-1.96
196412,0.03,-0.56,-2.58
196501,3.54,2.48,0.2
196502,0.44,3.3,0.19
196503,-1.34,2.02,1.07
196504,3.11,1.19,0.7
196505,-0.77,0.04,-1.61
196506,-5.51,-4.31,0.58
196507,1.43,1.04,2.22
196508,2.73,2.74,-1.07
196509,2.86,0.6,-0.11
196510,2.6,3.41,1.6
196511,-0.03,5.22,0.23
196512,1.01,2.68,2.08
196601,0.72,4.67,3.57
196602,-1.21,4.79,0.36
196603,-2.51,0.24,-2.05
196604,2.14,3.37,-0.45
196605,-5.66,-5.15,-1.65
196606,-1.44,1.38,0.49
196607,-1.63,-0.35,0.82
196608,-7.91,-3.06,0.56
196609,-1.06,-1.12,0.5
196610,3.86,-6.46,2.81
196611,1.4,3.49,-4.6
196612,0.13,1.95,-1.29
196701,8.15,9.08,2.03
196702,0.78,3.09,-2.26
196703,3.99,2,0.19
196704,3.89,0.45,-2.54
196705,-4.33,2.36,0.89
196706,2.41,6.52,0.95
196707,4.58,3.23,2.65
196708,-0.89,0.74,1.46
196709,3.11,2.38,-2.46
196710,-3.09,0.49,-3.38
196711,0.37,0,-1.71
196712,3.05,5.72,-0.39
196801,-4.06,4.52,4.77
196802,-3.75,-2.92,1.17
196803,0.2,-1.58,-0.59
196804,9.05,6.19,-1.02
196805,2.28,6.95,0.85
196806,0.69,-0.26,0.68
196807,-2.72,-1.37,5.48
196808,1.34,2.29,1.01
196809,4.03,2.8,0.26
196810,0.42,-0.44,2.91
196811,5.43,2.43,-0.9
196812,-3.94,3.6,0.02
196901,-1.25,-0.48,1.69
196902,-5.84,-4.11,0.92
196903,2.64,-0.41,-0.45
196904,1.46,-0.81,0.05
196905,-0.1,-0.18,0.74
196906,-7.18,-5.47,-1.1
196907,-7,-3.37,1.42
196908,4.68,0.7,-3.85
196909,-2.98,1.31,-3.22
196910,5.06,3.87,-3.22
196911,-3.79,-2.41,-1.11
196912,-2.63,-3.7,-3.08
197001,-8.1,3.09,3.07
197002,5.13,-2.57,4.02
197003,-1.06,-2.43,4.25
197004,-11,-6.29,6.4
197005,-6.92,-4.41,3.63
197006,-5.79,-2.15,0.79
197007,6.93,-0.68,1.05
197008,4.49,1.54,1.08
197009,4.18,8.49,-5.5
197010,-2.28,-4.47,0.21
197011,4.59,-4.01,1.69
197012,5.72,2.99,0.98
197101,4.84,7.57,1.35
197102,1.41,2.04,-1.34
197103,4.13,2.16,-3.99
197104,3.15,-0.36,0.74
197105,-3.98,-1.18,-1.37
197106,-0.1,-1.45,-2
197107,-4.5,-1.4,0.17
197108,3.79,-0.19,2.71
197109,-0.85,0.21,-2.94
197110,-4.42,-1.64,-0.47
197111,-0.46,-2.9,-1.74
197112,8.71,3.24,-0.3
197201,2.49,6.31,2.03
197202,2.87,0.98,-2.76
197203,0.63,-0.48,-1.69
197204,0.29,0.14,0.22
197205,1.25,-3.14,-2.69
197206,-2.43,-0.36,-2.48
197207,-0.8,-2.74,0.77
197208,3.26,-3.53,4.68
197209,-1.14,-2.27,0.49
197210,0.52,-2.51,1.32
197211,4.6,-0.55,4.78
197212,0.62,-1.82,-2.29
197301,-3.29,-2.81,2.68
197302,-4.85,-4.03,1.68
197303,-1.29,-2.36,2.84
197304,-5.68,-3.01,5.66
197305,-2.94,-5.99,0.19
197306,-1.56,-2.55,1.43
197307,5.04,7.26,-5.18
197308,-3.84,-1.77,1.19
